"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 11 16:54:49 GMT 2023","Thu May 11 16:55:11 GMT 2023","21303","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка количества предложений реализуемого имущества"
"failed","Thu May 11 16:54:26 GMT 2023","Thu May 11 16:54:48 GMT 2023","22692","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"failed","Thu May 11 16:54:30 GMT 2023","Thu May 11 16:54:49 GMT 2023","19462","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Thu May 11 16:54:49 GMT 2023","Thu May 11 16:55:06 GMT 2023","16992","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"failed","Thu May 11 16:54:50 GMT 2023","Thu May 11 16:55:08 GMT 2023","18194","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"passed","Thu May 11 16:54:49 GMT 2023","Thu May 11 16:55:08 GMT 2023","18797","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"passed","Thu May 11 16:54:26 GMT 2023","Thu May 11 16:54:48 GMT 2023","22395","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"passed","Thu May 11 16:54:49 GMT 2023","Thu May 11 16:55:05 GMT 2023","15701","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"failed","Thu May 11 16:54:30 GMT 2023","Thu May 11 16:54:49 GMT 2023","19334","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"failed","Thu May 11 16:54:29 GMT 2023","Thu May 11 16:54:49 GMT 2023","19379","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"failed","Thu May 11 16:54:29 GMT 2023","Thu May 11 16:54:49 GMT 2023","19242","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
