"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 17 10:08:23 GMT 2023","Wed May 17 10:08:44 GMT 2023","21585","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"failed","Wed May 17 10:08:45 GMT 2023","Wed May 17 10:09:12 GMT 2023","26482","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка количества предложений реализуемого имущества"
"failed","Wed May 17 10:08:20 GMT 2023","Wed May 17 10:08:41 GMT 2023","21795","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"passed","Wed May 17 10:08:45 GMT 2023","Wed May 17 10:09:02 GMT 2023","16872","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"passed","Wed May 17 10:08:45 GMT 2023","Wed May 17 10:09:05 GMT 2023","19652","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"failed","Wed May 17 10:08:20 GMT 2023","Wed May 17 10:08:41 GMT 2023","21132","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"failed","Wed May 17 10:08:22 GMT 2023","Wed May 17 10:08:42 GMT 2023","19926","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"failed","Wed May 17 10:08:23 GMT 2023","Wed May 17 10:08:41 GMT 2023","18341","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"failed","Wed May 17 10:08:45 GMT 2023","Wed May 17 10:09:06 GMT 2023","21174","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"passed","Wed May 17 10:08:23 GMT 2023","Wed May 17 10:08:45 GMT 2023","22080","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 10:08:45 GMT 2023","Wed May 17 10:09:07 GMT 2023","21679","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
