"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 17 14:38:13 GMT 2023","Wed May 17 14:38:42 GMT 2023","29272","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 14:38:43 GMT 2023","Wed May 17 14:39:04 GMT 2023","20447","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"passed","Wed May 17 14:38:43 GMT 2023","Wed May 17 14:39:10 GMT 2023","26835","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"failed","Wed May 17 14:38:13 GMT 2023","Wed May 17 14:38:43 GMT 2023","30030","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"failed","Wed May 17 14:38:13 GMT 2023","Wed May 17 14:38:43 GMT 2023","30151","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"passed","Wed May 17 14:38:43 GMT 2023","Wed May 17 14:39:09 GMT 2023","26157","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка предложений реализуемого имущества"
"passed","Wed May 17 14:38:43 GMT 2023","Wed May 17 14:39:06 GMT 2023","22595","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"passed","Wed May 17 14:38:10 GMT 2023","Wed May 17 14:38:42 GMT 2023","32674","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"passed","Wed May 17 14:38:43 GMT 2023","Wed May 17 14:39:08 GMT 2023","24744","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"failed","Wed May 17 14:38:13 GMT 2023","Wed May 17 14:38:43 GMT 2023","29700","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"failed","Wed May 17 14:38:10 GMT 2023","Wed May 17 14:38:42 GMT 2023","32098","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
