"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 17 11:20:06 GMT 2023","Wed May 17 11:20:44 GMT 2023","38662","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"passed","Wed May 17 11:20:49 GMT 2023","Wed May 17 11:21:11 GMT 2023","22372","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"passed","Wed May 17 11:20:12 GMT 2023","Wed May 17 11:20:49 GMT 2023","36772","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"passed","Wed May 17 11:20:49 GMT 2023","Wed May 17 11:21:16 GMT 2023","27419","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка предложений реализуемого имущества"
"passed","Wed May 17 11:20:49 GMT 2023","Wed May 17 11:21:17 GMT 2023","27985","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"passed","Wed May 17 11:20:49 GMT 2023","Wed May 17 11:21:08 GMT 2023","18934","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"failed","Wed May 17 11:20:06 GMT 2023","Wed May 17 11:20:44 GMT 2023","37949","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"failed","Wed May 17 11:20:12 GMT 2023","Wed May 17 11:20:44 GMT 2023","32433","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 11:20:49 GMT 2023","Wed May 17 11:21:14 GMT 2023","25680","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"failed","Wed May 17 11:20:13 GMT 2023","Wed May 17 11:20:44 GMT 2023","31027","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"failed","Wed May 17 11:20:13 GMT 2023","Wed May 17 11:20:44 GMT 2023","31441","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
