"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 17 15:10:35 GMT 2023","Wed May 17 15:11:05 GMT 2023","30414","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"passed","Wed May 17 15:11:06 GMT 2023","Wed May 17 15:11:32 GMT 2023","25776","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"failed","Wed May 17 15:10:41 GMT 2023","Wed May 17 15:11:06 GMT 2023","24757","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"passed","Wed May 17 15:11:06 GMT 2023","Wed May 17 15:11:23 GMT 2023","17413","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"passed","Wed May 17 15:10:35 GMT 2023","Wed May 17 15:11:03 GMT 2023","27703","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"passed","Wed May 17 15:11:06 GMT 2023","Wed May 17 15:11:26 GMT 2023","20087","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка предложений реализуемого имущества"
"failed","Wed May 17 15:10:40 GMT 2023","Wed May 17 15:11:05 GMT 2023","24414","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 15:11:06 GMT 2023","Wed May 17 15:11:29 GMT 2023","23739","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"failed","Wed May 17 15:10:41 GMT 2023","Wed May 17 15:11:05 GMT 2023","24003","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 15:11:06 GMT 2023","Wed May 17 15:11:21 GMT 2023","15696","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"failed","Wed May 17 15:10:40 GMT 2023","Wed May 17 15:11:05 GMT 2023","24884","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
