"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 18:34:01 GMT 2023","Thu May 18 18:34:27 GMT 2023","25805","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Thu May 18 18:34:27 GMT 2023","Thu May 18 18:34:43 GMT 2023","16788","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"failed","Thu May 18 18:34:27 GMT 2023","Thu May 18 18:34:54 GMT 2023","27308","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"failed","Thu May 18 18:34:01 GMT 2023","Thu May 18 18:34:24 GMT 2023","22765","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"passed","Thu May 18 18:34:01 GMT 2023","Thu May 18 18:34:26 GMT 2023","25734","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"passed","Thu May 18 18:33:57 GMT 2023","Thu May 18 18:34:23 GMT 2023","25601","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"passed","Thu May 18 18:34:27 GMT 2023","Thu May 18 18:34:42 GMT 2023","15735","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"passed","Thu May 18 18:34:27 GMT 2023","Thu May 18 18:34:49 GMT 2023","22429","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"passed","Thu May 18 18:33:57 GMT 2023","Thu May 18 18:34:21 GMT 2023","24233","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"passed","Thu May 18 18:34:00 GMT 2023","Thu May 18 18:34:26 GMT 2023","25677","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"failed","Thu May 18 18:34:27 GMT 2023","Thu May 18 18:34:51 GMT 2023","24861","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка предложений реализуемого имущества"
