"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 17 12:15:32 GMT 2023","Wed May 17 12:15:48 GMT 2023","16084","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"failed","Wed May 17 12:15:06 GMT 2023","Wed May 17 12:15:28 GMT 2023","21932","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"failed","Wed May 17 12:15:07 GMT 2023","Wed May 17 12:15:28 GMT 2023","21502","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"passed","Wed May 17 12:15:32 GMT 2023","Wed May 17 12:15:52 GMT 2023","19890","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"passed","Wed May 17 12:15:32 GMT 2023","Wed May 17 12:15:52 GMT 2023","20303","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка предложений реализуемого имущества"
"passed","Wed May 17 12:15:32 GMT 2023","Wed May 17 12:15:51 GMT 2023","18741","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"failed","Wed May 17 12:15:06 GMT 2023","Wed May 17 12:15:29 GMT 2023","22471","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"passed","Wed May 17 12:15:07 GMT 2023","Wed May 17 12:15:32 GMT 2023","25179","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 12:15:02 GMT 2023","Wed May 17 12:15:32 GMT 2023","29799","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"failed","Wed May 17 12:15:02 GMT 2023","Wed May 17 12:15:28 GMT 2023","26275","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"passed","Wed May 17 12:15:32 GMT 2023","Wed May 17 12:16:02 GMT 2023","29702","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
