"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 17 12:03:40 GMT 2023","Wed May 17 12:04:07 GMT 2023","26085","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"failed","Wed May 17 12:03:41 GMT 2023","Wed May 17 12:04:02 GMT 2023","21426","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"passed","Wed May 17 12:04:07 GMT 2023","Wed May 17 12:04:25 GMT 2023","17388","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"passed","Wed May 17 12:04:08 GMT 2023","Wed May 17 12:04:33 GMT 2023","25035","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"passed","Wed May 17 12:04:07 GMT 2023","Wed May 17 12:04:26 GMT 2023","19178","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"passed","Wed May 17 12:03:41 GMT 2023","Wed May 17 12:04:07 GMT 2023","26514","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"failed","Wed May 17 12:03:36 GMT 2023","Wed May 17 12:04:02 GMT 2023","26337","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"passed","Wed May 17 12:03:36 GMT 2023","Wed May 17 12:04:06 GMT 2023","29429","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"failed","Wed May 17 12:04:07 GMT 2023","Wed May 17 12:04:31 GMT 2023","23944","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка предложений реализуемого имущества"
"passed","Wed May 17 12:03:41 GMT 2023","Wed May 17 12:04:07 GMT 2023","26218","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 12:04:07 GMT 2023","Wed May 17 12:04:21 GMT 2023","13612","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
