"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 17 10:19:01 GMT 2023","Wed May 17 10:19:35 GMT 2023","33781","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"broken","Wed May 17 10:19:36 GMT 2023","Wed May 17 10:20:03 GMT 2023","27369","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"passed","Wed May 17 10:19:36 GMT 2023","Wed May 17 10:19:58 GMT 2023","21839","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"passed","Wed May 17 10:19:36 GMT 2023","Wed May 17 10:20:04 GMT 2023","28077","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"failed","Wed May 17 10:19:01 GMT 2023","Wed May 17 10:19:35 GMT 2023","33547","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"passed","Wed May 17 10:19:36 GMT 2023","Wed May 17 10:20:05 GMT 2023","28795","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"passed","Wed May 17 10:19:36 GMT 2023","Wed May 17 10:20:06 GMT 2023","29860","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка количества предложений реализуемого имущества"
"failed","Wed May 17 10:19:00 GMT 2023","Wed May 17 10:19:33 GMT 2023","32562","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 10:18:55 GMT 2023","Wed May 17 10:19:36 GMT 2023","41152","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"failed","Wed May 17 10:18:55 GMT 2023","Wed May 17 10:19:34 GMT 2023","39899","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"failed","Wed May 17 10:19:00 GMT 2023","Wed May 17 10:19:33 GMT 2023","32341","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
