"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 17 11:13:16 GMT 2023","Wed May 17 11:13:48 GMT 2023","31634","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"failed","Wed May 17 11:13:16 GMT 2023","Wed May 17 11:13:49 GMT 2023","32331","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"failed","Wed May 17 11:13:21 GMT 2023","Wed May 17 11:13:48 GMT 2023","26543","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 11:13:51 GMT 2023","Wed May 17 11:14:17 GMT 2023","25429","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"passed","Wed May 17 11:13:21 GMT 2023","Wed May 17 11:13:51 GMT 2023","30011","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"failed","Wed May 17 11:13:22 GMT 2023","Wed May 17 11:13:49 GMT 2023","27115","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 11:13:51 GMT 2023","Wed May 17 11:14:20 GMT 2023","28766","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"failed","Wed May 17 11:13:51 GMT 2023","Wed May 17 11:14:20 GMT 2023","29159","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка предложений реализуемого имущества"
"passed","Wed May 17 11:13:51 GMT 2023","Wed May 17 11:14:11 GMT 2023","19346","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"failed","Wed May 17 11:13:22 GMT 2023","Wed May 17 11:13:50 GMT 2023","28267","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"passed","Wed May 17 11:13:51 GMT 2023","Wed May 17 11:14:14 GMT 2023","22835","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
