"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 17 10:14:40 GMT 2023","Wed May 17 10:14:45 GMT 2023","5427","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"passed","Wed May 17 10:14:46 GMT 2023","Wed May 17 10:15:01 GMT 2023","14890","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"failed","Wed May 17 10:14:46 GMT 2023","Wed May 17 10:15:00 GMT 2023","14569","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"broken","Wed May 17 10:14:43 GMT 2023","Wed May 17 10:14:45 GMT 2023","1891","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
"broken","Wed May 17 10:14:43 GMT 2023","Wed May 17 10:14:45 GMT 2023","1954","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"failed","Wed May 17 10:14:46 GMT 2023","Wed May 17 10:15:01 GMT 2023","15874","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"failed","Wed May 17 10:14:46 GMT 2023","Wed May 17 10:15:01 GMT 2023","15502","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"broken","Wed May 17 10:14:44 GMT 2023","Wed May 17 10:14:45 GMT 2023","1493","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"broken","Wed May 17 10:14:40 GMT 2023","Wed May 17 10:14:45 GMT 2023","5417","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"broken","Wed May 17 10:14:44 GMT 2023","Wed May 17 10:14:45 GMT 2023","1508","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"failed","Wed May 17 10:14:46 GMT 2023","Wed May 17 10:15:02 GMT 2023","16064","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка количества предложений реализуемого имущества"
