"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 17 14:47:23 GMT 2023","Wed May 17 14:47:43 GMT 2023","19845","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalOfferTest","personalOfferTest()","Позитивная проверка заполнения формы персонального предложения"
"failed","Wed May 17 14:46:48 GMT 2023","Wed May 17 14:47:21 GMT 2023","32590","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","telegramBannerTest","telegramBannerTest()","Проверка работы подписки на Telegram через баннер на главной странице"
"passed","Wed May 17 14:46:48 GMT 2023","Wed May 17 14:47:23 GMT 2023","34759","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [1] ","Негативная проверка заполнения формы заказа виртуальной карты"
"passed","Wed May 17 14:47:23 GMT 2023","Wed May 17 14:47:56 GMT 2023","32848","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","mortgagedPropertyTest","mortgagedPropertyTest()","Проверка предложений реализуемого имущества"
"passed","Wed May 17 14:47:23 GMT 2023","Wed May 17 14:47:50 GMT 2023","26779","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","codeOfEthicsDocumentTest","codeOfEthicsDocumentTest()","Проверка содержания pdf-документа ""Кодекс этики"""
"passed","Wed May 17 14:47:23 GMT 2023","Wed May 17 14:47:55 GMT 2023","31843","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","coBorrowerArticleTest","coBorrowerArticleTest()","Проверка соответствия статьи ссылке в модальном окне"
"failed","Wed May 17 14:46:43 GMT 2023","Wed May 17 14:47:21 GMT 2023","38448","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","blogFiltersTest","blogFiltersTest()","Проверка фильтрации статей в блоге"
"failed","Wed May 17 14:46:47 GMT 2023","Wed May 17 14:47:19 GMT 2023","31136","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","consentToPersonalDataProcessingTest","consentToPersonalDataProcessingTest()","Проверка страницы согласия на обработку данных посетителя сайта"
"failed","Wed May 17 14:46:43 GMT 2023","Wed May 17 14:47:21 GMT 2023","37849","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","regionSettingTest","regionSettingTest()","Проверка отображения выбранного региона обсуживания"
"failed","Wed May 17 14:47:23 GMT 2023","Wed May 17 14:47:57 GMT 2023","33596","","Тестирование десктопной версии сайта","","tests.desktop.DesktopTests","personalSecurityQuizTest","personalSecurityQuizTest()","Проверка прохождения теста ""Обмани мошенника"""
"failed","Wed May 17 14:46:48 GMT 2023","Wed May 17 14:47:21 GMT 2023","33087","","Тестирование мобильной версии сайта","","tests.mobile.MobileTests","mirLiteVirtualCardOrderNegativeTest","mirLiteVirtualCardOrderNegativeTest(String) [2] 95437","Негативная проверка заполнения формы заказа виртуальной карты"
